id;bank_code;bank_name;initial_name;bi_code;swift_code;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;navigate r;generating bypassing Bypass;Plastic Movies;SMS;Zimbabwe parse Custo;2019-10-15;2019-10-15T15:31:05;72612;2019-10-15;2019-10-15T15:48:13;84964
2;Ergonomic ;User-friendly;Savings Account;SMT;Checking Account glo;2019-10-15;2019-10-15T22:01:03;52030;2019-10-15;2019-10-15T15:26:17;83137
3;solution c;California PNG engage;Burg;tra;digital Corporate Ch;2019-10-15;2019-10-16T01:33:34;60808;2019-10-15;2019-10-15T18:41:39;39224
4;partnershi;Luxembourg Spurs;empower Home Loan Account SMS;bac;Business-focused Can;2019-10-15;2019-10-16T01:38:08;32875;2019-10-16;2019-10-15T18:46:19;57964
5;robust;Granite Rubber;enable;dep;RSS Buckinghamshire ;2019-10-15;2019-10-16T05:21:31;22384;2019-10-16;2019-10-15T14:15:02;16893
6;even-keele;Brazil;Island cyan;Gra;Ergonomic Soft Shoes;2019-10-15;2019-10-15T17:28:00;8175;2019-10-15;2019-10-15T13:00:28;15697
7;streamline;quantify;Manager;cul;navigate Kiribati;2019-10-15;2019-10-15T16:02:04;6234;2019-10-16;2019-10-16T06:25:40;25243
8;feed;connecting generate Music;Inlet Hungary Configurable;int;Toys;2019-10-16;2019-10-15T13:47:48;21144;2019-10-16;2019-10-16T02:06:49;53533
9;Total;Investment Account Indian Rupee;withdrawal Club Nebraska;Nev;empower;2019-10-16;2019-10-16T01:15:34;89964;2019-10-15;2019-10-15T19:23:32;57077
10;dot-com;methodology Integration Music;Pants;Avo;blue scalable Car;2019-10-15;2019-10-15T13:45:29;8023;2019-10-16;2019-10-15T21:23:07;1824
