id;city_code;city_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;Villages u;Automotive Tactics architectures;2019-10-15;2019-10-15T20:14:19;96361;2019-10-15;2019-10-15T13:30:05;7534
2;functional;compressing;2019-10-16;2019-10-15T22:19:36;16949;2019-10-16;2019-10-15T20:36:37;39469
3;calculatin;Director Concrete Bedfordshire;2019-10-15;2019-10-16T02:13:56;74076;2019-10-15;2019-10-15T17:14:43;13662
4;array Fran;open-source HDD;2019-10-15;2019-10-16T08:00:55;51134;2019-10-16;2019-10-15T21:56:14;62789
5;olive Hand;incubate;2019-10-16;2019-10-15T23:27:00;57828;2019-10-15;2019-10-16T09:06:39;32815
6;Towels Spe;Utah Computers Small Fresh Gloves;2019-10-16;2019-10-15T21:05:01;12706;2019-10-16;2019-10-15T21:26:23;82786
7;composite ;Intelligent Granite Shirt Peru deposit;2019-10-15;2019-10-16T06:47:15;97585;2019-10-15;2019-10-15T21:34:56;71459
8;Licensed C;mindshare Gorgeous;2019-10-16;2019-10-16T05:32:58;96264;2019-10-16;2019-10-15T13:54:36;42831
9;Som Rustic;Benin;2019-10-15;2019-10-16T05:35:05;66019;2019-10-15;2019-10-16T03:15:18;63827
10;Buckingham;paradigms Organic strategic;2019-10-15;2019-10-16T07:05:22;1439;2019-10-16;2019-10-16T07:11:16;9179
