id;country_code;country_name;nationality;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;AT;Incredible Fresh Chips;Shoes Music connect;2019-10-15;2019-10-15T22:36:37;34630;2019-10-16;2019-10-15T22:49:17;43385
2;NE;Generic Frozen Tuna HTTP;implement;2019-10-15;2019-10-15T11:34:16;50313;2019-10-15;2019-10-15T13:25:04;53937
3;NG;Soap Tasty Metal Sausages Outdoors;invoice multi-byte;2019-10-15;2019-10-16T00:39:27;57336;2019-10-15;2019-10-16T06:53:22;45825
4;SK;parsing Investment Account;Branding Dynamic black;2019-10-16;2019-10-16T04:49:24;10077;2019-10-16;2019-10-16T09:32:10;3896
5;BI;Gourde US Dollar Handcrafted Plastic Shirt;Armenian Dram wireless directional;2019-10-15;2019-10-16T07:08:15;69289;2019-10-15;2019-10-16T01:36:48;62894
6;UY;Handmade Cotton Bacon Specialist China;quantify multi-byte;2019-10-15;2019-10-15T16:24:51;41261;2019-10-16;2019-10-16T01:02:42;25001
7;SB;user-centric Infrastructure;Managed Dobra application;2019-10-16;2019-10-16T07:29:54;37772;2019-10-15;2019-10-15T21:08:59;50525
8;KY;monetize superstructure Fantastic;Industrial;2019-10-15;2019-10-15T13:38:32;9128;2019-10-16;2019-10-16T02:18:36;95680
9;VC;Applications Missouri deposit;Gorgeous Money Market Account;2019-10-15;2019-10-15T17:49:59;21272;2019-10-15;2019-10-15T11:15:54;79157
10;SC;Wooden Optimization Associate;Austria mindshare EXE;2019-10-16;2019-10-15T17:02:01;11706;2019-10-15;2019-10-16T06:32:30;68803
