id;currency_code;currency_name;currency_symbol;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;KZT;Bahamian Dollar;R$;2019-10-16;2019-10-15T10:20:15;16552;2019-10-15;2019-10-16T05:30:07;12466
2;USD;East Caribbean Dollar;$;2019-10-15;2019-10-16T04:30:58;59127;2019-10-15;2019-10-16T00:23:51;37930
3;AZN;Surinam Dollar;TL;2019-10-15;2019-10-16T09:51:44;60372;2019-10-16;2019-10-16T07:13:52;39816
4;KHR;Pataca;₫;2019-10-15;2019-10-15T11:49:22;34634;2019-10-15;2019-10-16T01:38:48;48083
5;SOS;East Caribbean Dollar;лв;2019-10-15;2019-10-16T04:34:59;3284;2019-10-15;2019-10-15T12:04:04;14085
6;ETB;Colombian Peso Unidad de Valor Real;MT;2019-10-15;2019-10-16T06:00:04;41892;2019-10-16;2019-10-15T12:01:03;31147
7;INR B;Somoni;₦;2019-10-16;2019-10-15T18:47:58;22009;2019-10-16;2019-10-16T04:52:09;66353
8;MKD;Costa Rican Colon;R;2019-10-15;2019-10-15T22:57:28;14866;2019-10-15;2019-10-16T00:01:21;86063
9;BHD;Pataca;₱;2019-10-15;2019-10-16T02:47:00;59538;2019-10-16;2019-10-16T08:21:49;39731
10;STD;North Korean Won;kr;2019-10-15;2019-10-15T12:25:14;34938;2019-10-16;2019-10-15T22:44:10;19068
