id;param_code;param_name;param_type;int_value;float_value;string_value;date_value;show;edit;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;mobile Fis;Home Loan Account Table Computer;T;33370;60111;alarm;2019-10-16;false;true;2019-10-15;2019-10-15T13:59:42;93855;2019-10-16;2019-10-16T09:57:17;18182
2;Soap metho;Home Namibia;S;36636;23277;Licensed Savings Account;2019-10-16;true;true;2019-10-15;2019-10-15T22:46:16;4645;2019-10-15;2019-10-15T19:23:33;68030
3;Centers;Factors;S;23089;68423;infomediaries;2019-10-16;true;false;2019-10-15;2019-10-16T09:08:53;17336;2019-10-15;2019-10-16T00:35:17;25877
4;invoice;convergence;M;18485;3131;synthesizing Views e-enable;2019-10-15;true;true;2019-10-15;2019-10-16T02:08:11;8849;2019-10-15;2019-10-16T05:16:11;52083
5;Tactics;scale interactive generating;S;27599;14092;back-end;2019-10-16;false;true;2019-10-15;2019-10-15T15:26:23;39488;2019-10-16;2019-10-16T02:55:47;552
6;overriding;monitor 1080p Checking Account;w;62329;44945;Ergonomic;2019-10-16;false;true;2019-10-16;2019-10-15T17:59:29;72960;2019-10-15;2019-10-15T18:40:20;27472
7;Mississipp;synthesize Idaho compress;S;43933;10789;Outdoors;2019-10-15;false;false;2019-10-15;2019-10-15T21:46:04;69551;2019-10-15;2019-10-16T06:37:46;24929
8;relationsh;Brand;n;92969;62435;modular Refined Squares;2019-10-16;false;false;2019-10-15;2019-10-15T12:46:29;53934;2019-10-16;2019-10-15T14:35:42;12208
9;granular D;synergies copying;a;48482;22210;Concrete 24/7 Directives;2019-10-16;false;true;2019-10-15;2019-10-15T17:06:04;40383;2019-10-16;2019-10-16T08:24:57;97178
10;Functional;Moroccan Dirham;c;60956;97661;paradigms Home;2019-10-16;true;true;2019-10-16;2019-10-15T17:38:12;14489;2019-10-15;2019-10-15T22:13:36;44778
