id;province_code;province_name;create_system_date;create_date;create_user_id;last_modification_system_date;last_modification_date;last_modification_user_id
1;generating;Algerian Dinar Fantastic Fresh Salad;2019-10-15;2019-10-16T06:27:18;8134;2019-10-15;2019-10-16T07:56:14;23322
2;Maine PCI ;Interactions;2019-10-15;2019-10-15T19:46:06;75337;2019-10-16;2019-10-16T00:56:36;70818
3;Buckingham;Oklahoma communities;2019-10-15;2019-10-16T02:02:51;11119;2019-10-15;2019-10-15T22:09:02;25368
4;grow;Handmade Wooden Cheese Fresh;2019-10-15;2019-10-15T16:06:45;74604;2019-10-15;2019-10-15T19:58:22;23750
5;seize Glen;Mandatory Assistant;2019-10-16;2019-10-15T10:30:15;96987;2019-10-15;2019-10-16T08:56:15;32268
6;Sleek Froz;Associate Central African Republic Savings Account;2019-10-15;2019-10-16T02:54:20;45454;2019-10-15;2019-10-15T18:54:44;69692
7;iterate pr;web-enabled Brand Regional;2019-10-15;2019-10-16T07:24:41;62013;2019-10-16;2019-10-16T03:18:59;16967
8;withdrawal;one-to-one Indiana;2019-10-16;2019-10-16T01:19:31;97439;2019-10-16;2019-10-15T10:18:17;45324
9;Beauty dyn;Pound Sterling Keyboard;2019-10-15;2019-10-16T08:08:41;82253;2019-10-15;2019-10-15T11:10:43;41663
10;New Mexico;EXE Rustic Steel Shirt drive;2019-10-15;2019-10-15T22:26:41;98727;2019-10-15;2019-10-16T06:21:48;37673
